Date,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
2020-01-01,1026.1141204714513,910.2977948602396,1027.5282329606507,403.72932561973215,934.0984336487464,1107.1337714535239,1443.3682134224548,844.5189345179058,757.4519191320437,849.472886924639,527.9827786310035,753.2305593835399,935.4452850133333,606.7307580694844,713.1949473847126,969.7404438574378,714.2819189028487,679.1838161661991,720.2683240616891,759.7263832587781,815.9956720657344,900.3464004583656,726.0511028821571,908.7404675450701,766.8603306760403,669.2402551839888,828.9754140597071,858.8611273717457,779.0244878147438,528.3074865673617,584.9414375804124,642.6488604451141,641.3128029757465,836.7104001234353,509.1743308368163,877.84088852476,632.6712374034665,655.0109231080512,763.9549139719621,607.9628004694788,942.2356567877638,542.6843896632827,722.1911811505324,924.711134727445,807.9219472106179,646.1647579213168,710.3801038882303,853.3471901712574,986.6303716819497,946.5693591897167
2020-01-02,1274.6206353106222,1098.6253328979053,841.0719388698884,1153.9802299340067,1029.1232648044122,1290.5934971598667,789.3840718367943,901.7013560206696,882.3675540603527,560.9455155603645,541.6830062902869,752.5833447696358,963.6485707425566,609.5201357260271,706.0023001273843,959.1383721537619,738.5951997424385,692.4003318182758,720.0299463536917,766.2953031847971,815.4010725591423,904.8580855985123,741.4555345058437,896.4816255028105,775.1474041094943,674.51650119487,842.7940823329149,866.1226569415824,785.0044860225308,541.6326267648085,590.2810810502282,652.3951982856906,651.1594527661948,848.4102381718126,567.087873185074,874.0224292725595,656.5770359772339,672.7286213054122,760.1594013666394,606.2327086226989,964.4044354576213,558.0364196935963,717.0179350250941,940.3416551972679,811.9274441883753,663.973755075033,729.5378943289628,868.0045957069407,988.3640467107023,941.1589185843438
2020-01-03,1088.836083119373,1078.3165816539668,1001.5340369927383,929.6238599874558,575.3887773848758,873.8064031703923,897.1856450419691,759.3168192335144,951.6142865001973,1121.2152570443616,571.521408134144,755.6280678011711,966.5368151997596,620.9168514453396,712.6413959444754,948.8742283020653,746.7710846313295,695.6750162017985,725.9026349508265,759.690914805413,809.4634440444333,902.2270165513931,752.7244372320541,891.0900388029063,781.7956032630034,683.8241754072171,854.7582469613268,867.5438092165543,810.841122288379,546.5811526553817,606.8796835038526,665.3236627801333,661.5847444005869,845.2852310963417,602.6055038677954,887.0981032909748,669.739349973739,686.1429949097776,778.1509567129915,607.5698776470756,967.3951103863387,582.8245898242685,720.0919907288363,945.4154459585438,819.576917865101,666.4349670001095,746.9761721970924,884.1912328962767,996.1834040301759,946.841607549579
2020-01-04,1565.855770363159,1052.3733438495517,1077.2651172168291,977.6662252701499,424.36863541028754,992.0458373652349,1018.069062982308,1738.9726337455859,942.2917105656633,1090.4642027000837,620.7030390896946,764.5439342480582,978.2457132823856,633.9823333882973,731.4239588072461,948.29123145951,765.9176979897446,711.8973757015207,739.8265312087372,757.8118507860988,828.7369691659325,908.0302560863053,770.3946122477946,885.347038472669,816.1685592857749,692.1254834025541,859.0848121494527,863.4529509687568,844.7871673616514,552.3431907242477,617.0167637177166,679.1440173514575,671.97540667629,850.5576290885181,654.0388943267908,904.7610816665699,694.607395841484,698.3597821845159,797.1479992286122,608.5508642474971,971.3941423232804,612.4049712912241,739.4246123304628,955.1777567454409,823.1925455196341,668.5132152309435,755.4113034617578,890.1885802070027,1002.3245898073652,956.5942562366894
2020-01-05,989.586469088427,649.3965887141404,1342.8468443545062,1225.5799098060322,1237.309584112914,727.1837635615783,1420.8382932808297,579.4446811623158,1176.057128140081,1657.1366877429937,659.2992531690039,766.9064254815637,993.7328034761989,651.5281407320579,743.521309544287,946.1138470403824,770.6799986454344,726.3303673887299,755.9339650467514,762.4633566193517,834.1584496425589,903.178400153671,784.5803435900907,895.839480233988,858.5226816513004,707.2057638176485,866.8848953461359,864.5683127844643,883.8742808141309,570.7032756808902,624.7024209097635,705.7215293342289,692.5676170187144,852.6552462103178,680.7637186847578,923.8533013554502,717.0341231248977,709.2344510554261,822.25147384187,622.9767497396565,992.4550495796937,640.6544131771454,757.5232346367802,962.9312631737855,824.1893171877481,690.4526600934252,778.2679649590472,892.4115954889304,1011.122229482244,967.3898618182366
2020-01-06,702.8391024607935,830.1106811191685,1029.8954095262923,848.9573037651402,534.8009706801602,1020.5688924418082,681.3088858821685,1142.0777291905545,724.172729729859,1464.980321505262,692.5384437428847,770.9839438475848,976.8178340352594,670.9360521692003,756.4085575701854,935.8306245449417,784.2962165096429,725.895719983612,773.3613608047913,760.3381516389677,827.6254357591665,894.8233080157373,787.0693478274471,890.9739722136346,890.2282943526858,703.141127271146,869.1425921880241,856.6099592730992,914.2216650382612,582.4364116071042,636.6292477603733,718.8072112527918,697.4077873991465,855.7649465178837,702.8049421213725,931.8871654700974,731.1167378192035,705.2153564978044,830.9395035479739,635.7053528817873,991.0670619186958,670.4011223477535,768.5683216058477,952.8762139053771,813.4639160743601,697.2130839283732,788.761107856162,889.628596213522,1015.6847322576708,975.3276571630821
2020-01-07,765.0240122991289,903.3815451382973,1244.055165210901,630.7407050698134,1068.237980381239,1392.1428262847285,517.7550296316317,1055.3901575596913,1077.964838274527,1234.546861533193,708.4754698849111,775.1257077413493,987.3121424262688,685.3547600201267,766.2651689552713,921.4041421301923,791.9693728499961,728.9088017391151,791.1699383753481,754.6368303159679,838.2528795094213,898.6374866339988,785.6958648951156,890.6000232444818,900.0617888815309,717.1903428409973,875.0834860662046,865.7045150276389,931.1724537355745,591.3790127342095,643.8592666378765,723.0061741284562,710.5192597769894,855.0791353600443,724.0660443519299,941.7628716667432,748.0428494855278,716.956593611315,833.3849916195365,642.9767842067024,992.7247023173848,690.7690724808313,781.0734110539274,950.8937986425408,808.0026278737388,715.5346246229982,807.4148137588111,895.2354834852695,1027.3006878325582,983.1010621882639
2020-01-08,628.9147867365754,603.863016074717,1156.5824696850693,1089.095401969956,1075.147855103763,1103.9344628490928,795.9925835264528,1069.676109148301,1087.9217419896045,785.6945745920897,715.6842248693624,781.2228213585302,994.2502157177718,694.5980705352966,767.5385244803296,916.3678719326142,797.5237940279255,724.3249189348712,794.2651345531367,754.3514955787092,837.4860103946138,892.1948847774597,788.8361910598254,888.2257282634007,899.0867485240774,718.2713444008199,883.3170364256717,861.9610498226283,951.5532683979992,611.1008757506894,653.9590870399546,727.8148310672899,719.7215566305294,860.7717858562798,749.3489727951545,923.4823684680417,761.1751858057223,713.6393550499189,817.8339938627696,646.4724843121024,995.224102857173,698.4412946563642,786.0184198265962,955.2238301640979,800.5812092506188,736.2049903290783,808.5491005119449,909.327831154922,1022.8265367623223,985.899844661728
2020-01-09,1559.732353343427,1142.1498762735362,642.6089508392054,1196.966082590149,707.5954989318036,1236.1253811227357,1347.5786737022213,753.7953044944869,1289.0128387732966,1123.8342780809494,731.1659325411348,787.4119036077805,1017.658269368879,704.3893956671697,774.2758977386959,905.1064434156557,823.6763732181784,737.5392921049117,806.8828656805247,757.2761822444714,832.5434233130516,908.4356294529819,801.1822999960223,882.5329477324212,925.4215170793542,719.4772606562098,886.1560783559751,877.7434684314186,941.9479442244435,619.7888350348842,657.2686820267736,737.1591170936794,730.0768073048647,874.4410404219245,801.5149994731879,942.7109752621867,782.9569014295381,732.431005126439,842.1683761651876,640.4423615390698,1002.8174688663595,702.5818324198026,799.569957757424,957.7485866546101,808.1317792433463,752.6882719823836,827.1950193539014,927.3325733413867,1028.9232910430774,985.893331559415
2020-01-10,1246.618047998347,1569.0378947961842,926.3835651991388,773.8791506927531,733.145671112343,755.2569145103685,976.8694871757688,1102.3455924449931,1083.0072397990057,1248.1549747108072,756.5391629050113,793.6550856204054,1038.8440401424778,710.3466686713632,791.5555047950688,903.1174907169024,828.4516966312682,759.6640129682698,809.3154724544959,759.2567192598215,828.5657387338107,907.5902928966686,806.1566210196211,884.470799013841,945.9007228454744,724.411393813351,904.9865918223148,884.5817425888229,951.0611875140105,644.255855439913,663.082393000164,749.520903632333,736.9707773779664,870.3357767037189,821.8628033216349,963.9010270703957,793.402612441563,746.5602142396428,867.1376978363055,643.726552350613,1018.706055246715,728.3435105180213,811.3058496604459,977.8604241745833,819.0014888503814,764.9582759113829,847.4270980433686,940.4978006961458,1047.7977297489977,988.1530610997487
2020-01-11,1003.9005675633721,1436.060223147195,920.6029500286131,1816.0507499768858,1187.700204329502,742.8527330751152,678.7322505816663,1144.7417245729555,932.9611644022448,1214.2001482276276,770.0438213844549,791.9299800051307,1051.3710865093442,712.9352143437596,800.9208888015468,895.7176365364448,851.5297067402222,768.8318042902079,819.6735858124069,767.9902807106733,835.9965533529307,908.5503986110764,823.9750256313527,887.6922368401455,961.6740188425923,731.6115802951969,930.805513706881,885.0233697903781,963.1265563147482,655.3968928385276,673.4262593296392,772.4739040984088,755.7157611731112,874.7339945810913,868.5968456741207,972.6968827761193,815.8089893801725,770.2022677296229,884.779032494771,649.2802908285914,1033.2925908736531,741.1235302122828,819.9993046242597,993.8846584544171,821.9727381334549,774.8089486982142,863.9938650374821,950.5939711923968,1059.0687548000585,990.6040355696152
2020-01-12,1141.9712873720634,978.1513262029382,745.9618845794785,545.5458325942407,866.0455143798937,1256.9196382970417,1064.2281232390612,626.2783663864036,1051.9542777553545,1115.595213918651,788.8854470937665,791.565784258615,1055.3159666250017,720.3274761348463,814.632147007606,888.941184536323,858.007606095486,767.5592862479543,822.9069558883001,771.6972606895063,828.1401094420733,899.9236233143813,825.8695062937129,894.3973298171436,977.5347265609416,731.0823245144145,941.0706478583687,880.746696323889,966.8386906556319,661.7767988543184,680.5273147537226,779.0979183024522,768.7746977431964,878.8311418511901,889.1894808335115,983.6724557029763,825.8726221137023,776.0839059041182,898.7389316126869,649.9275034189286,1037.3793274530117,745.3125193752564,814.4237016979519,995.8129567774271,830.2513750837632,784.5710765530494,874.2312903956815,961.7139113860186,1059.2681258184953,987.6118571354613
2020-01-13,734.84276913966,1046.1175317836585,1017.4626155338,657.1089106508131,1107.336208104485,1168.2353579104704,1324.915372952583,1316.1406156104708,586.6991896128727,718.6524880254632,812.4302028958874,790.727175957873,1042.9232836073447,721.746587950819,814.384453979184,882.9593575545124,869.3210477908918,769.4011995667325,826.8811607097659,782.256777794055,832.2957009207482,894.2214183019913,828.1396285194949,883.0062483255455,1000.597831310203,752.4581211934835,952.054614385569,872.0507954618606,974.9118175396663,672.3932833069516,683.7555438216734,801.2522666786183,774.0088156673343,875.7316760406034,897.3953571803947,979.5616993528283,830.0210668073091,779.997844629419,911.3099275650856,663.7517374830378,1046.9558554082105,749.0269790502788,809.590196973891,1003.8548959132179,836.7537081446391,792.954162967002,903.3064571987558,974.6871794806856,1056.2983960707772,979.7575174066912
2020-01-14,1154.510580162598,1154.1357852736626,1154.5143058918143,2155.819447196416,1171.26715320795,1340.6696920541797,1286.2005290479608,1195.4173753917394,905.4192266078963,1227.6907661479802,841.4549790877148,795.5235748043922,1060.6658455078766,730.1822183675185,825.520349471634,873.1885164743599,885.915160650864,774.5774472742028,832.957541741961,790.4334344429777,833.3802041904462,909.3415379302236,844.6296316350321,868.3496356528962,1033.0484626201026,758.6961379964871,964.0323636265265,873.048395740249,999.9908815886481,683.6427112148015,689.3304069220757,820.4751599557848,793.9344343089571,889.0693576107633,960.3292520730371,988.8274288580608,850.3688136569225,791.6310417923821,934.267728568625,675.5591621997644,1054.374072396336,766.3375315009182,814.1920774056839,1023.1225676138741,843.4016703587006,815.1335755335915,927.7887296980249,982.9987734916028,1067.7312670542733,991.1254368183317
2020-01-15,768.1524356387284,928.9544179779973,854.3909356512689,1024.5622418158969,1694.3975700020526,439.8204422224755,1205.878057112354,516.1852386431044,858.4204402631699,1326.6851790902099,854.1312225413171,801.628546022743,1084.778897524422,739.8683386631097,816.6591913056716,874.6672846126824,891.3298623244042,792.287323709902,846.362491310627,804.9725540360996,829.6108341517776,905.4689024755271,859.1036095982687,875.8659478541656,1036.1731246260117,771.961824046558,981.2420037666999,882.0089853955886,992.5628243950439,678.863942896293,689.4242528069867,842.1058751560315,817.7273081074926,890.2646210389544,961.6576640905477,999.797965223978,841.7070251563613,798.4612410756781,948.3856253516501,674.913309831656,1076.0526569673552,780.0273487081165,819.3151499133803,1046.978517810203,840.7005325572519,817.0532850261629,953.7357250629373,1002.7333597239746,1069.9164604267646,993.0313332332933
