Pressure_psia,Temperature_F,Exp_Density_kgm3,Exp_Viscosity_cp
2498.16047538945,204.72425710296176,301.5988099845844,0.32374100873719885
4802.857225639665,180.41445495161807,364.0876103748193,0.5286308590312152
3927.9757672456203,146.42914244294917,403.226351803602,0.7820188183886386
3394.6339367881465,222.0692529560423,305.66719600670353,0.3444410095031618
1624.074561769746,202.7096758830819,294.06907161530694,0.28075357023584574
1623.9780813448106,124.3925409017337,395.1929879097994,0.6891647156555047
1232.3344486727979,236.63907767407636,259.4979259529818,0.10087024645003825
4464.70458309974,223.38058643847535,317.2098489358669,0.3703930201154068
3404.4600469728352,242.4699869937886,283.5891349685962,0.1553184566792909
3832.290311184182,208.857926258254,315.43456073350495,0.2849711646734847
1082.33797718321,192.0122793903685,290.8912332940675,0.40678631030516016
4879.639408647978,162.73645544359283,398.6179823765831,0.8147240515458104
4329.770563201687,239.909272503102,300.0846421330835,0.2725965415786438
1849.3564427131046,229.90958342506124,265.47785123507833,0.22627798514508463
1727.2998688284024,106.78280051592841,423.6665255647331,0.8320173095350344
1733.6180394137352,103.9550461745878,438.505127424549,0.897618372316649
2216.968971838151,156.46950503170743,354.3129472035413,0.6287604161909337
3099.0257265289515,221.58299961727494,298.76873831606537,0.32125422048912694
2727.780074568463,248.09141939724168,271.30023819430795,0.20306633855261144
2164.9165607921677,122.56253366552923,408.2770835928702,0.7614843676823617
3447.411578889518,189.11960730282027,344.81501639073497,0.46192680261473773
1557.9754426081674,157.13362849465324,338.71578597260105,0.5624664169418072
2168.5785941408726,245.48715967219047,262.0052352859116,0.15115338943113288
2465.4473731747667,226.3178384703563,277.59772468535346,0.21614395288612673
2824.2799368681435,225.74930570667067,283.1593831547362,0.33215438682897824
4140.703845572054,170.30397396924553,367.8424294631305,0.6041937774649179
1798.695128633439,162.22292535064977,341.0259107757496,0.5403268120341971
3056.9377536544466,141.01106078960595,393.9777145762084,0.6962586575385414
3369.6582754481697,108.45632449763907,467.7139191629872,1.0252629936835405
1185.8016508799908,229.708356438258,257.93830304974364,0.22244187333893684
3430.1794076057536,221.93515136951163,299.87115481647186,0.3005581891121725
1682.0964947491661,249.95765099291958,250.72687697781768,0.20296046747703805
1260.206371941118,249.4955255610858,257.38962176328414,0.2105336927794553
