t_s,flow_in_gpm,flow_out_gpm,pit_bbl,spp_psi,is_kick
0,650.0,651.8283024785266,400.0011306686208,3216.8930601669003,0
1,650.0,643.7600953625571,400.0030860359262,3207.364716805176,0
2,650.0,654.5027071748387,400.00334637074474,3165.298378844734,0
3,650.0,655.6433882983473,400.00631607532813,3161.417722504728,0
4,650.0,638.293788868077,400.00433461934426,3166.5719681330497,0
5,650.0,642.1869229588261,400.0053618306249,3175.5521691679824,0
6,650.0,650.7670424190037,400.0038314985872,3186.4069170012094,0
7,650.0,648.1025444459385,400.00541931144994,3191.8513545601586,0
8,650.0,649.8991930549743,400.00633860273354,3198.8199169669174,0
9,650.0,644.8817364345585,400.0090406364587,3199.39090926839,0
10,650.0,655.276387849177,400.00979019934476,3199.125090742856,0
11,650.0,654.6667516125736,400.0091841903176,3220.5853443115466,0
12,650.0,650.3961841853672,400.00844758499903,3169.819462023477,0
13,650.0,656.7634472418082,400.0080723191375,3206.0112162676883,0
14,650.0,652.8050560535123,400.00730623307567,3205.923788605993,0
15,650.0,644.8442452227006,400.00932689653195,3177.2716814567575,0
16,650.0,652.212504704495,400.0112403539471,3209.6081219113003,0
17,650.0,644.246704395026,400.00899550277967,3206.706289656636,0
18,650.0,655.2707018078436,400.0090530429943,3199.2214537286736,0
19,650.0,649.7004445340825,400.0091467802695,3156.481503681911,0
20,650.0,648.8908258187284,400.0079748373468,3217.3481210421364,0
21,650.0,645.9144227335763,400.0086322123349,3204.080364152412,0
22,650.0,657.3352480320442,400.01082348859165,3207.264409123218,0
23,650.0,649.0728231075872,400.01216120206755,3138.9669863738054,0
24,650.0,647.4300330670213,400.014181804651,3190.4326928680975,0
25,650.0,647.8871986970706,400.01310410287965,3174.1935906554977,0
26,650.0,653.1938551133201,400.0131588645388,3223.2815948790885,0
27,650.0,652.1926643861844,400.0120103930199,3180.109623872604,0
28,650.0,652.4763956695759,400.0123695381258,3226.6267938236692,0
29,650.0,652.5849260180473,400.01286371448947,3217.151289341006,0
30,650.0,662.8498856052228,400.01430347149756,3203.9842952685467,0
31,650.0,647.5615099016923,400.0162737092783,3220.4370096868374,0
32,650.0,646.9265436255707,400.01730717502426,3183.000488071123,0
33,650.0,645.1173636305127,400.01601692023,3186.2252229165397,0
34,650.0,653.695876535453,400.0139886611585,3216.6025146631023,0
35,650.0,656.7738337563253,400.01476869120455,3183.0833601547097,0
36,650.0,649.3163152540708,400.01701947286784,3176.135301611681,0
37,650.0,644.9590611382248,400.0169822850523,3194.2166691173843,0
38,650.0,645.0531127058525,400.01469119470903,3184.1214728056475,0
39,650.0,653.9035567269482,400.0178183286441,3233.5769391394024,0
40,650.0,654.4595250272207,400.01855243546936,3213.9564585155986,0
41,650.0,653.2589256098312,400.0188091477434,3189.6322710997256,0
42,650.0,646.0069417562678,400.01705719101693,3181.975397586655,0
43,650.0,651.3929679384004,400.01708151535126,3206.0959608545277,0
44,650.0,650.7001148548444,400.01811184159453,3221.3757992900037,0
45,650.0,651.3121315803741,400.0188663726754,3205.236372030619,0
46,650.0,655.2285726676891,400.01784654198315,3182.8814835383964,0
